************************************************
* artmuse patient study
* date/time:
* seed: 209294.137
* subject #: 103
* subject name: 
************************************************

trial	stimOnsetTime	exptCond	stimNum	cue	probe	valid	resp	corResp	Acc	RT	e_VArtH		e_VArtFA	e_VRoomH	e_VRoomFA	e_IVArtH	e_IVArtFA	e_IVRoomH	e_IVRoomFA	c_VArtH	c_VArtFA	c_VRoomH	c_VRoomFA	c_IVArtH	c_IVArtFA	c_IVRoomH	c_IVRoomFA
29	250.176		0		15	1	1	1	1	1	1	0.004	0.33		0.33		0.00		0.00		NaN		NaN		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
30	257.227		1		42	1	1	1	1	1	1	0.632	0.50		0.33		0.00		0.00		NaN		NaN		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
31	273.244		1		7	2	2	1	0	1	0	1.737	0.50		0.33		0.00		0.00		NaN		NaN		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
32	282.027		0		72	2	2	1	0	0	1	6.495	0.50		0.33		0.00		0.00		NaN		NaN		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
33	295.576		1		16	2	2	1	0	1	0	1.382	0.50		0.33		0.00		0.00		NaN		NaN		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
34	304.009		1		69	2	2	1	0	0	1	2.201	0.50		0.33		0.00		0.00		NaN		NaN		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
35	313.259		1		70	2	1	0	1	0	0	5.393	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
36	325.709		1		54	2	2	1	0	0	1	2.609	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
37	335.359		1		37	2	2	1	0	0	1	1.617	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
38	344.025		1		1	2	1	0	1	0	0	1.131	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
39	352.208		0		57	2	2	1	1	1	1	1.878	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
40	361.142		0		56	2	2	1	0	0	1	0.750	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
41	376.958		0		68	1	1	1	1	1	1	2.633	0.50		0.33		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
42	386.641		1		22	1	1	1	0	0	1	1.085	0.50		0.25		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.25		1.00		0.00		1.00		NaN		1.00		0.00		
43	394.774		0		13	1	1	1	1	0	0	0.004	0.50		0.25		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.40		1.00		0.00		1.00		NaN		1.00		0.00		
44	401.824		1		80	1	1	1	1	0	0	0.181	0.50		0.40		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.40		1.00		0.00		1.00		NaN		1.00		0.00		
45	409.057		0		73	1	1	1	0	0	1	8.536	0.50		0.40		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.33		1.00		0.00		1.00		NaN		1.00		0.00		
46	424.641		1		60	1	1	1	1	0	0	1.568	0.50		0.50		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.33		1.00		0.00		1.00		NaN		1.00		0.00		
47	433.256		1		46	1	1	1	1	1	1	0.977	0.60		0.50		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.33		1.00		0.00		1.00		NaN		1.00		0.00		
48	441.289		1		44	1	1	1	1	1	1	2.347	0.67		0.50		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.33		1.00		0.00		1.00		NaN		1.00		0.00		
49	450.690		1		12	1	1	1	1	1	1	0.705	0.71		0.50		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.33		1.00		0.00		1.00		NaN		1.00		0.00		
50	458.440		0		79	1	1	1	1	1	1	0.874	0.71		0.50		0.00		0.00		NaN		1.00		1.00		1.00		1.00		0.33		1.00		0.00		1.00		NaN		1.00		0.00		
